name,uf_id,created_at,latitude,longitude
Alta Floresta dOeste,22,2023-10-30 09:23:31.917,-11.9355403048,-61.9998238963
Ariquemes,22,2023-10-30 09:23:31.917,-9.9084628666,-63.033269278
Cabixi,22,2023-10-30 09:23:31.917,-13.4997634597,-60.5443135812
Cacoal,22,2023-10-30 09:23:31.917,-11.4338650287,-61.4429442118
Cerejeiras,22,2023-10-30 09:23:31.917,-13.195033032,-60.8184261647
Colorado do Oeste,22,2023-10-30 09:23:31.917,-13.1305638415,-60.5550674631
Corumbiara,22,2023-10-30 09:23:31.917,-12.9975202365,-60.9487011707
Costa Marques,22,2023-10-30 09:23:31.917,-12.4360138777,-64.2316539391
Espigão dOeste,22,2023-10-30 09:23:31.917,-11.5285546333,-61.0201731133
Guajará-Mirim,22,2023-10-30 09:23:31.917,-10.7738837407,-65.3239518197
Jaru,22,2023-10-30 09:23:31.917,-10.4359487679,-62.4762307081
Ji-Paraná,22,2023-10-30 09:23:31.917,-10.8820513183,-61.9450945827
Machadinho dOeste,22,2023-10-30 09:23:31.917,-9.42556248,-61.9995925724
Nova Brasilândia dOeste,22,2023-10-30 09:23:31.917,-11.7213254139,-62.308230163
Ouro Preto do Oeste,22,2023-10-30 09:23:31.917,-10.7235739008,-62.2610551904
Pimenta Bueno,22,2023-10-30 09:23:31.917,-11.67753699,-61.1836656736
Porto Velho,22,2023-10-30 09:23:31.917,-8.76889179,-63.8314456544
Presidente Médici,22,2023-10-30 09:23:31.917,-11.1732050162,-61.9094386835
Rio Crespo,22,2023-10-30 09:23:31.917,-9.7055367097,-62.900010366
Rolim de Moura,22,2023-10-30 09:23:31.917,-11.7222589134,-61.7857809352
Santa Luzia dOeste,22,2023-10-30 09:23:31.917,-11.9084233325,-61.7733054631
Vilhena,22,2023-10-30 09:23:31.917,-12.7413734718,-60.1385838661
São Miguel do Guaporé,22,2023-10-30 09:23:31.917,-11.6994897438,-62.7200634814
Nova Mamoré,22,2023-10-30 09:23:31.917,-10.4117712947,-65.3291490231
Alvorada dOeste,22,2023-10-30 09:23:31.917,-11.3441300234,-62.2772748657
Alto Alegre dos Parecis,22,2023-10-30 09:23:31.917,-12.1317772246,-61.8530771686
Alto Paraíso,22,2023-10-30 09:23:31.917,-9.7166667381,-63.3176294335
Buritis,22,2023-10-30 09:23:31.917,-10.2098054072,-63.8296787918
Novo Horizonte do Oeste,22,2023-10-30 09:23:31.917,-11.70974292,-61.9943876628
Cacaulândia,22,2023-10-30 09:23:31.917,-10.3388728394,-62.9031899346
Campo Novo de Rondônia,22,2023-10-30 09:23:31.917,-10.5684164693,-63.6249914265
Candeias do Jamari,22,2023-10-30 09:23:31.917,-8.7850207035,-63.7000200718
Castanheiras,22,2023-10-30 09:23:31.917,-11.4268422255,-61.9491611965
Chupinguaia,22,2023-10-30 09:23:31.917,-12.5568407611,-60.90184775
Cujubim,22,2023-10-30 09:23:31.917,-9.3781933991,-62.5871745319
Governador Jorge Teixeira,22,2023-10-30 09:23:31.917,-10.6120717726,-62.7404576395
Itapuã do Oeste,22,2023-10-30 09:23:31.917,-9.1918716753,-63.1823370165
Ministro Andreazza,22,2023-10-30 09:23:31.917,-11.1962379842,-61.5189219301
Mirante da Serra,22,2023-10-30 09:23:31.917,-11.0456092899,-62.6694270953
Monte Negro,22,2023-10-30 09:23:31.917,-10.2630977559,-63.2955591672
Nova União,22,2023-10-30 09:23:31.917,-10.9155320417,-62.5550893989
Parecis,22,2023-10-30 09:23:31.917,-12.1798270507,-61.5979979727
Pimenteiras do Oeste,22,2023-10-30 09:23:31.917,-13.4765620025,-61.0443790025
Primavera de Rondônia,22,2023-10-30 09:23:31.917,-11.8257069542,-61.3165462429
São Felipe dOeste,22,2023-10-30 09:23:31.917,-11.9143893547,-61.5125081133
São Francisco do Guaporé,22,2023-10-30 09:23:31.917,-12.0637984122,-63.5708647108
Seringueiras,22,2023-10-30 09:23:31.917,-11.7671166356,-63.0387609977
Teixeirópolis,22,2023-10-30 09:23:31.917,-10.932169286,-62.255922254
Theobroma,22,2023-10-30 09:23:31.917,-10.248730552,-62.3451455299
Urupá,22,2023-10-30 09:23:31.917,-11.1285452757,-62.3706324538
Vale do Anari,22,2023-10-30 09:23:31.917,-9.8513927081,-62.1768234421
Vale do Paraíso,22,2023-10-30 09:23:31.917,-10.4310526846,-62.1343903568
Acrelândia,1,2023-10-30 09:23:31.917,-10.0737938925,-67.05231658
Assis Brasil,1,2023-10-30 09:23:31.917,-10.9428656809,-69.5634591747
Brasiléia,1,2023-10-30 09:23:31.917,-11.0164110191,-68.747943426
Bujari,1,2023-10-30 09:23:31.917,-9.8200196267,-67.9518592792
Capixaba,1,2023-10-30 09:23:31.917,-10.5697677088,-67.6735079719
Cruzeiro do Sul,1,2023-10-30 09:23:31.917,-7.630690005,-72.6725313174
Epitaciolândia,1,2023-10-30 09:23:31.917,-11.028239828,-68.7448680667
Feijó,1,2023-10-30 09:23:31.917,-8.16024753,-70.3539836082
Jordão,1,2023-10-30 09:23:31.917,-9.1933578598,-71.9508751248
Mâncio Lima,1,2023-10-30 09:23:31.917,-7.5932225939,-72.9165010261
